uN:0,uN:1,uN:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
-3.03698e-07,-5.89341e-06,-5.37727e-08,1,0.00684,0.01184,0,0.0075,152
-3.03355e-07,-5.89382e-06,-5.35873e-08,1,0.006885,0.011885,0,0.0075,153
-3.03012e-07,-5.89422e-06,-5.34019e-08,1,0.00693,0.01193,0,0.0075,154
-3.02669e-07,-5.89463e-06,-5.32165e-08,1,0.006975,0.011975,0,0.0075,155
-3.02326e-07,-5.89503e-06,-5.30311e-08,1,0.00702,0.01202,0,0.0075,156
-3.01983e-07,-5.89544e-06,-5.28457e-08,1,0.007065,0.012065,0,0.0075,157
-3.0164e-07,-5.89585e-06,-5.26603e-08,1,0.00711,0.01211,0,0.0075,158
-3.01297e-07,-5.89625e-06,-5.24749e-08,1,0.007155,0.012155,0,0.0075,159
-3.00954e-07,-5.89666e-06,-5.22895e-08,1,0.0072,0.0122,0,0.0075,160
-3.00611e-07,-5.89706e-06,-5.21041e-08,1,0.007245,0.012245,0,0.0075,161
-3.00243e-07,-5.89751e-06,-5.19575e-08,1,0.00729,0.01229,0,0.0075,162
-2.99818e-07,-5.89803e-06,-5.19e-08,1,0.007335,0.012335,0,0.0075,163
-2.99394e-07,-5.89856e-06,-5.18425e-08,1,0.00738,0.01238,0,0.0075,164
-2.98969e-07,-5.89908e-06,-5.17851e-08,1,0.007425,0.012425,0,0.0075,165
-2.98544e-07,-5.89961e-06,-5.17276e-08,1,0.00747,0.01247,0,0.0075,166
-2.9812e-07,-5.90014e-06,-5.16701e-08,1,0.007515,0.012515,0,0.0075,167
-2.97695e-07,-5.90066e-06,-5.16126e-08,1,0.00756,0.01256,0,0.0075,168
-2.9727e-07,-5.90119e-06,-5.15552e-08,1,0.007605,0.012605,0,0.0075,169
-2.96846e-07,-5.90171e-06,-5.14977e-08,1,0.00765,0.01265,0,0.0075,170
-2.96421e-07,-5.90224e-06,-5.14402e-08,1,0.007695,0.012695,0,0.0075,171
-2.95996e-07,-5.90277e-06,-5.13827e-08,1,0.00774,0.01274,0,0.0075,172
-2.95571e-07,-5.90329e-06,-5.13253e-08,1,0.007785,0.012785,0,0.0075,173
-2.95147e-07,-5.90382e-06,-5.12678e-08,1,0.00783,0.01283,0,0.0075,174
-2.94722e-07,-5.90434e-06,-5.12103e-08,1,0.007875,0.012875,0,0.0075,175
-2.94297e-07,-5.90487e-06,-5.11528e-08,1,0.00792,0.01292,0,0.0075,176
-2.93873e-07,-5.90539e-06,-5.10954e-08,1,0.007965,0.012965,0,0.0075,177
