uN:0,uN:1,uN:2,arc_length,Points:0,Points:1,Points:2,Point ID,Block Number
-4.87848e-07,-5.78582e-06,-7.86474e-08,0.0202408,0.00320577,0.00677802,0.0075,110,2
-4.90702e-07,-5.77254e-06,-7.82288e-08,0.0204882,0.00297958,0.00687828,0.0075,111,2
-4.92482e-07,-5.76578e-06,-7.8001e-08,0.0206089,0.00286932,0.00692716,0.0075,112,2
-4.95676e-07,-5.75174e-06,-7.74865e-08,0.0208563,0.00263849,0.0070162,0.0075,113,2
-4.97499e-07,-5.74476e-06,-7.72396e-08,0.0209769,0.00252597,0.0070596,0.0075,114,2
-5.00836e-07,-5.73028e-06,-7.66904e-08,0.0212243,0.00229105,0.00713721,0.0075,115,2
-5.02861e-07,-5.72294e-06,-7.6395e-08,0.0213449,0.00217653,0.00717504,0.0075,116,2
-5.0666e-07,-5.70774e-06,-7.57548e-08,0.0215923,0.00193808,0.00724103,0.0075,117,2
-5.08773e-07,-5.70021e-06,-7.5443e-08,0.0217129,0.00182184,0.0072732,0.0075,118,2
-5.12811e-07,-5.68462e-06,-7.47733e-08,0.0219603,0.00158045,0.0073274,0.0075,119,2
-5.15183e-07,-5.67677e-06,-7.44158e-08,0.0220809,0.00146277,0.00735383,0.0075,120,2
-5.19795e-07,-5.66052e-06,-7.36621e-08,0.0223283,0.001219,0.00739613,0.0075,121,2
-5.22298e-07,-5.65251e-06,-7.32911e-08,0.0224489,0.00110017,0.00741675,0.0075,122,2
-5.27237e-07,-5.63597e-06,-7.25134e-08,0.0226963,0.000854625,0.00744703,0.0075,123,2
-5.30049e-07,-5.62767e-06,-7.21005e-08,0.0228169,0.000734923,0.00746179,0.0075,124,2
-5.35662e-07,-5.61058e-06,-7.12463e-08,0.0230644,0.000488187,0.00748,0.0075,125,2
-5.38644e-07,-5.60217e-06,-7.08236e-08,0.023185,0.000367904,0.00748887,0.0075,126,2
-5.44659e-07,-5.58488e-06,-6.99538e-08,0.0234324,0.000120573,0.00749494,0.0075,127,2
-5.47993e-07,-5.57623e-06,-6.94922e-08,0.023553,-1.60417e-19,0.0074979,0.0075,128,2
-5.54762e-07,-5.5585e-06,-6.85516e-08,0.0238004,-0.000247331,0.00749183,0.0075,129,2
-5.58297e-07,-5.5498e-06,-6.80857e-08,0.023921,-0.000367904,0.00748887,0.0075,130,2
-5.65528e-07,-5.53201e-06,-6.71403e-08,0.0241684,-0.00061464,0.00747067,0.0075,131,2
-5.69447e-07,-5.52313e-06,-6.6638e-08,0.024289,-0.000734923,0.00746179,0.0075,132,2
-5.77489e-07,-5.50501e-06,-6.56286e-08,0.0245364,-0.000980468,0.00743151,0.0075,133,2
-5.81633e-07,-5.49615e-06,-6.51277e-08,0.024657,-0.00110017,0.00741675,0.0075,134,2
-5.90174e-07,-5.47813e-06,-6.41215e-08,0.0249044,-0.00134393,0.00737445,0.0075,135,2
-5.94723e-07,-5.46915e-06,-6.35884e-08,0.025025,-0.00146277,0.00735383,0.0075,136,2
-6.0411e-07,-5.45093e-06,-6.25304e-08,0.0252724,-0.00170416,0.00729962,0.0075,137,2
-6.08896e-07,-5.44204e-06,-6.20025e-08,0.0253931,-0.00182184,0.0072732,0.0075,138,2
-6.18797e-07,-5.42406e-06,-6.09522e-08,0.0256405,-0.00206028,0.00720721,0.0075,139,2
-6.23995e-07,-5.41513e-06,-6.0398e-08,0.0257611,-0.00217653,0.00717504,0.0075,140,2
-6.34751e-07,-5.39709e-06,-5.93108e-08,0.0260085,-0.00241144,0.00709744,0.0075,141,2
-6.4019e-07,-5.38832e-06,-5.87649e-08,0.0261291,-0.00252597,0.0070596,0.0075,142,2
-6.51448e-07,-5.37068e-06,-5.76865e-08,0.0263765,-0.00275679,0.00697056,0.0075,143,2
-6.57294e-07,-5.36192e-06,-5.71219e-08,0.0264971,-0.00286932,0.00692716,0.0075,144,2
-6.69401e-07,-5.34435e-06,-5.6027e-08,0.0267445,-0.0030955,0.0068269,0.0075,145,2
-6.75477e-07,-5.33583e-06,-5.54712e-08,0.0268651,-0.00320577,0.00677802,0.0075,146,2
-6.88041e-07,-5.31881e-06,-5.43806e-08,0.0271125,-0.00342675,0.00666678,0.0075,147,2
-6.9451e-07,-5.31037e-06,-5.38166e-08,0.0272331,-0.00353449,0.00661256,0.0075,148,2
-7.0791e-07,-5.29354e-06,-5.27361e-08,0.0274805,-0.00374975,0.00649061,0.0075,149,2
-7.14585e-07,-5.2854e-06,-5.21781e-08,0.0276011,-0.00385469,0.00643116,0.0075,150,2
-7.28348e-07,-5.26928e-06,-5.10883e-08,0.0278486,-0.00406371,0.0062988,0.0075,151,2
-7.35403e-07,-5.26127e-06,-5.05373e-08,0.0279692,-0.00416561,0.00623428,0.0075,152,2
-7.50011e-07,-5.24544e-06,-4.94942e-08,0.0282166,-0.00436788,0.00609182,0.0075,153,2
-7.57221e-07,-5.23781e-06,-4.89404e-08,0.0283372,-0.00446649,0.00602237,0.0075,154,2
-7.72041e-07,-5.2228e-06,-4.78685e-08,0.0285846,-0.00466153,0.00587016,0.0075,155,2
-7.79627e-07,-5.21535e-06,-4.73413e-08,0.0287052,-0.00475662,0.00579595,0.0075,156,2
-7.9531e-07,-5.20074e-06,-4.63535e-08,0.0289526,-0.00494395,0.00563436,0.0075,157,2
-8.02982e-07,-5.19371e-06,-4.58119e-08,0.0290732,-0.00503528,0.00555558,0.0075,158,2
-8.11107e-07,-5.18693e-06,-4.53225e-08,0.0291938,-0.00512263,0.00547241,0.0075,159,2
-8.26675e-07,-5.17321e-06,-4.42784e-08,0.0294412,-0.00530182,0.00530182,0.0075,160,2
-8.42965e-07,-5.16001e-06,-4.32877e-08,0.0296886,-0.00547241,0.00512263,0.0075,161,2
-8.51152e-07,-5.15368e-06,-4.28047e-08,0.0298092,-0.00555558,0.00503528,0.0075,162,2
-8.67988e-07,-5.14141e-06,-4.19541e-08,0.0300566,-0.00571718,0.00484794,0.0075,163,2
-8.76252e-07,-5.13534e-06,-4.14365e-08,0.0301773,-0.00579595,0.00475662,0.0075,164,2
-8.93373e-07,-5.12375e-06,-4.04886e-08,0.0304247,-0.00594817,0.00456158,0.0075,165,2
-9.01792e-07,-5.11816e-06,-4.00578e-08,0.0305453,-0.00602237,0.00446649,0.0075,166,2
-9.19197e-07,-5.10748e-06,-3.92782e-08,0.0307927,-0.00616483,0.00426422,0.0075,167,2
-9.27744e-07,-5.10221e-06,-3.88112e-08,0.0309133,-0.00623428,0.00416561,0.0075,168,2
-9.45369e-07,-5.09221e-06,-3.79639e-08,0.0311607,-0.00636664,0.00395659,0.0075,169,2
-9.54013e-07,-5.08745e-06,-3.75739e-08,0.0312813,-0.00643116,0.00385469,0.0075,170,2
-9.71826e-07,-5.07849e-06,-3.6874e-08,0.0315287,-0.00655311,0.00363943,0.0075,171,2
-9.8056e-07,-5.07402e-06,-3.64688e-08,0.0316493,-0.00661256,0.00353449,0.0075,172,2
-9.98523e-07,-5.06568e-06,-3.57397e-08,0.0318967,-0.00672379,0.0033135,0.0075,173,2
-1.00731e-06,-5.06177e-06,-3.53996e-08,0.0320173,-0.00677802,0.00320577,0.0075,174,2
-1.02536e-06,-5.05457e-06,-3.48014e-08,0.0322647,-0.00687828,0.00297958,0.0075,175,2
-1.0342e-06,-5.05093e-06,-3.44632e-08,0.0323853,-0.00692716,0.00286932,0.0075,176,2
-1.05234e-06,-5.04429e-06,-3.3867e-08,0.0326328,-0.0070162,0.00263849,0.0075,177,2
-1.06119e-06,-5.04124e-06,-3.35874e-08,0.0327534,-0.0070596,0.00252597,0.0075,178,2
-1.07934e-06,-5.03581e-06,-3.31124e-08,0.0330008,-0.00713721,0.00229105,0.0075,179,2
-1.08821e-06,-5.03301e-06,-3.28484e-08,0.0331214,-0.00717504,0.00217653,0.0075,180,2
-1.10638e-06,-5.02809e-06,-3.23971e-08,0.0333688,-0.00724103,0.00193808,0.0075,181,2
